,C1,C2,C3,C4,C5,C6
R1,0.46,0.00,0.03,0.11,0.00,0.40
R2,0.13,0.09,0.00,0.62,0.00,0.15
R3,0.21,0.10,0.16,0.34,0.15,0.05
R4,0.11,0.17,0.12,0.00,0.15,0.45
R5,0.04,0.18,0.05,0.49,0.08,0.16
RN,0.00,0.00,0.00,0.00,0.00,0.00
