,C1,C2,C3,C4,C5,C6
R1,0.00,0.16,0.00,0.39,0.00,0.45
R2,0.00,0.60,0.13,0.00,0.26,0.00
R3,0.00,0.00,0.00,0.00,0.47,0.53
R4,0.10,0.26,0.00,0.40,0.05,0.19
R5,0.20,0.80,0.00,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
