,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,0.90,0.10,0.00
R2,1.00,0.00,0.00,0.00,0.00,0.00
R3,0.00,0.00,0.30,0.00,0.00,0.70
R4,0.00,0.82,0.00,0.00,0.00,0.18
R5,0.00,0.00,1.00,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
