,C1,C2,C3,C4,C5,C6
R1,0.46,0.00,0.00,0.52,0.00,0.02
R2,0.00,0.00,0.03,0.00,0.00,0.97
R3,0.00,0.00,0.00,0.49,0.27,0.24
R4,0.00,1.00,0.00,0.00,0.00,0.00
R5,1.00,0.00,0.00,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
