,C1,C2,C3,C4,C5,C6
R1,0.21,0.16,0.12,0.27,0.05,0.19
R2,0.00,0.00,1.00,0.00,0.00,0.00
R3,0.11,0.49,0.00,0.00,0.40,0.00
R4,0.00,0.62,0.08,0.20,0.00,0.10
R5,0.19,0.03,0.19,0.12,0.09,0.38
RN,0.00,0.00,0.00,0.00,0.00,0.00
