,C1,C2,C3,C4,C5,C6
R1,0.36,0.32,0.00,0.00,0.31,0.00
R2,0.26,0.36,0.07,0.30,0.01,0.00
R3,0.09,0.43,0.00,0.00,0.20,0.28
R4,0.50,0.48,0.00,0.00,0.00,0.02
R5,0.02,0.42,0.27,0.03,0.27,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
