,C1,C2,C3,C4,C5,C6
R1,0.13,0.00,0.02,0.27,0.21,0.38
R2,0.00,0.00,0.00,0.00,0.00,1.00
R3,0.27,0.11,0.12,0.11,0.26,0.13
R4,0.00,0.11,0.67,0.00,0.00,0.21
R5,0.00,0.00,0.47,0.00,0.00,0.53
RN,0.00,0.00,0.00,0.00,0.00,0.00
