,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.23,0.00,0.77,0.00
R2,0.04,0.07,0.29,0.07,0.23,0.30
R3,0.00,0.49,0.01,0.50,0.00,0.00
R4,0.01,0.05,0.07,0.22,0.64,0.02
R5,0.04,0.17,0.09,0.32,0.14,0.23
RN,0.00,0.00,0.00,0.00,0.00,0.00
