,C1,C2,C3,C4,C5,C6
R1,0.49,0.00,0.00,0.00,0.51,0.00
R2,0.27,0.71,0.00,0.02,0.00,0.00
R3,1.00,0.00,0.00,0.00,0.00,0.00
R4,0.09,0.00,0.00,0.91,0.00,0.00
R5,0.23,0.00,0.45,0.00,0.17,0.15
RN,0.00,0.00,0.00,0.00,0.00,0.00
