,C1,C2,C3,C4,C5,C6
R1,0.11,0.06,0.22,0.12,0.48,0.00
R2,0.19,0.07,0.22,0.47,0.05,0.00
R3,0.18,0.00,0.70,0.00,0.13,0.00
R4,0.02,0.43,0.00,0.04,0.38,0.13
R5,0.25,0.12,0.17,0.12,0.20,0.13
RN,0.00,0.00,0.00,0.00,0.00,0.00
