,C1,C2,C3,C4,C5,C6
R1,0.58,0.39,0.03,0.00,0.00,0.00
R2,0.10,0.36,0.09,0.45,0.00,0.00
R3,0.29,0.03,0.17,0.05,0.45,0.00
R4,0.12,0.64,0.00,0.13,0.09,0.01
R5,0.14,0.02,0.09,0.00,0.41,0.35
RN,0.00,0.00,0.00,0.00,0.00,0.00
