,C1,C2,C3,C4,C5,C6
R1,0.00,1.00,0.00,0.00,0.00,0.00
R2,0.12,0.01,0.01,0.12,0.07,0.67
R3,0.00,0.00,0.95,0.00,0.05,0.00
R4,0.11,0.00,0.14,0.07,0.61,0.06
R5,0.00,0.47,0.00,0.00,0.00,0.53
RN,0.00,0.00,0.00,0.00,0.00,0.00
