,C1,C2,C3,C4,C5,C6
R1,0.03,0.24,0.21,0.14,0.26,0.13
R2,0.00,0.91,0.00,0.00,0.09,0.00
R3,0.54,0.00,0.29,0.09,0.06,0.01
R4,0.00,0.00,0.00,0.00,1.00,0.00
R5,0.12,0.46,0.00,0.43,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
