,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,0.00,0.00,1.00
R2,0.16,0.00,0.33,0.51,0.00,0.00
R3,0.59,0.00,0.00,0.00,0.41,0.00
R4,0.00,0.14,0.75,0.04,0.08,0.00
R5,0.00,0.00,0.07,0.93,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
