,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,0.15,0.00,0.85
R2,0.67,0.12,0.01,0.08,0.05,0.07
R3,0.58,0.00,0.00,0.00,0.08,0.34
R4,0.00,0.16,0.11,0.60,0.08,0.05
R5,0.16,0.61,0.18,0.05,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
