,C1,C2,C3,C4,C5,C6
R1,0.93,0.07,0.00,0.00,0.00,0.00
R2,0.00,0.47,0.02,0.00,0.46,0.05
R3,0.29,0.06,0.11,0.11,0.41,0.03
R4,0.00,0.67,0.20,0.12,0.02,0.00
R5,0.13,0.17,0.26,0.09,0.30,0.06
RN,0.00,0.00,0.00,0.00,0.00,0.00
