,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,0.00,0.00,1.00
R2,0.00,0.48,0.52,0.00,0.00,0.00
R3,0.20,0.30,0.00,0.34,0.15,0.01
R4,0.00,0.00,0.00,0.00,0.00,1.00
R5,0.00,0.34,0.66,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
