,C1,C2,C3,C4,C5,C6
R1,0.25,0.06,0.04,0.14,0.19,0.32
R2,0.00,0.40,0.00,0.00,0.00,0.60
R3,0.00,0.00,0.06,0.00,0.17,0.77
R4,0.00,0.05,0.05,0.27,0.04,0.59
R5,0.36,0.35,0.13,0.02,0.00,0.14
RN,0.00,0.00,0.00,0.00,0.00,0.00
