,C1,C2,C3,C4,C5,C6
R1,0.00,0.52,0.00,0.24,0.19,0.06
R2,0.34,0.20,0.28,0.00,0.11,0.07
R3,0.00,0.00,0.00,1.00,0.00,0.00
R4,0.22,0.32,0.26,0.18,0.00,0.02
R5,0.02,0.00,0.00,0.00,0.00,0.98
RN,0.00,0.00,0.00,0.00,0.00,0.00
