,C1,C2,C3,C4,C5,C6
R1,0.14,0.00,0.01,0.07,0.25,0.53
R2,0.74,0.00,0.26,0.00,0.00,0.00
R3,0.21,0.00,0.70,0.00,0.00,0.09
R4,0.81,0.00,0.19,0.00,0.00,0.00
R5,0.13,0.21,0.04,0.60,0.02,0.01
RN,0.00,0.00,0.00,0.00,0.00,0.00
