,C1,C2,C3,C4,C5,C6
R1,0.10,0.06,0.56,0.00,0.28,0.00
R2,0.19,0.12,0.00,0.15,0.14,0.41
R3,0.03,0.38,0.01,0.19,0.09,0.30
R4,0.00,0.42,0.15,0.42,0.00,0.00
R5,0.20,0.54,0.02,0.04,0.03,0.17
RN,0.00,0.00,0.00,0.00,0.00,0.00
