,C1,C2,C3,C4,C5,C6
R1,0.78,0.00,0.17,0.05,0.00,0.00
R2,0.12,0.15,0.16,0.18,0.38,0.01
R3,0.01,0.08,0.22,0.38,0.17,0.13
R4,0.08,0.25,0.00,0.23,0.14,0.29
R5,0.00,0.74,0.16,0.09,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
