,C1,C2,C3,C4,C5,C6
R1,0.84,0.00,0.00,0.16,0.00,0.00
R2,0.44,0.54,0.02,0.00,0.00,0.00
R3,0.00,0.51,0.00,0.00,0.00,0.49
R4,0.57,0.12,0.00,0.01,0.21,0.08
R5,0.46,0.30,0.24,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
