,C1,C2,C3,C4,C5,C6
R1,0.90,0.00,0.00,0.00,0.00,0.10
R2,0.29,0.01,0.11,0.00,0.23,0.38
R3,0.06,0.12,0.25,0.19,0.27,0.11
R4,0.10,0.00,0.11,0.51,0.14,0.14
R5,0.00,0.05,0.07,0.00,0.29,0.59
RN,0.00,0.00,0.00,0.00,0.00,0.00
