,C1,C2,C3,C4,C5,C6
R1,1.00,0.00,0.00,0.00,0.00,0.00
R2,0.00,0.00,0.13,0.87,0.00,0.00
R3,0.00,0.00,1.00,0.00,0.00,0.00
R4,0.00,0.32,0.00,0.42,0.26,0.00
R5,0.00,0.00,0.00,0.00,0.00,1.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
