,C1,C2,C3,C4,C5,C6
R1,0.00,0.48,0.09,0.08,0.34,0.00
R2,0.07,0.44,0.09,0.31,0.10,0.00
R3,0.00,0.74,0.01,0.06,0.19,0.00
R4,0.00,0.00,0.00,0.00,0.00,1.00
R5,0.40,0.02,0.33,0.09,0.08,0.08
RN,0.00,0.00,0.00,0.00,0.00,0.00
