,C1,C2,C3,C4,C5,C6
R1,0.00,0.53,0.39,0.00,0.00,0.09
R2,0.00,0.00,0.00,1.00,0.00,0.00
R3,0.00,0.52,0.00,0.00,0.00,0.48
R4,0.01,0.59,0.03,0.25,0.00,0.12
R5,0.25,0.13,0.03,0.20,0.01,0.39
RN,0.00,0.00,0.00,0.00,0.00,0.00
