,C1,C2,C3,C4,C5,C6
R1,0.07,0.03,0.21,0.41,0.10,0.18
R2,0.45,0.10,0.11,0.04,0.30,0.00
R3,0.00,0.12,0.02,0.18,0.68,0.00
R4,0.01,0.02,0.00,0.00,0.00,0.97
R5,0.00,0.41,0.00,0.00,0.59,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
