,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,1.00,0.00,0.00
R2,0.00,0.21,0.00,0.39,0.18,0.22
R3,0.60,0.07,0.19,0.00,0.11,0.02
R4,0.10,0.16,0.48,0.00,0.05,0.21
R5,0.00,0.00,0.00,0.17,0.83,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
