,C1,C2,C3,C4,C5,C6
R1,0.22,0.01,0.75,0.00,0.03,0.00
R2,0.00,0.00,0.00,1.00,0.00,0.00
R3,1.00,0.00,0.00,0.00,0.00,0.00
R4,0.00,0.00,0.00,1.00,0.00,0.00
R5,0.42,0.00,0.00,0.00,0.00,0.58
RN,0.00,0.00,0.00,0.00,0.00,0.00
