,C1,C2,C3,C4,C5,C6
R1,0.00,0.68,0.00,0.32,0.00,0.00
R2,0.01,0.04,0.00,0.47,0.41,0.07
R3,0.26,0.49,0.11,0.09,0.05,0.00
R4,0.48,0.11,0.28,0.06,0.07,0.00
R5,0.01,0.09,0.47,0.21,0.00,0.22
RN,0.00,0.00,0.00,0.00,0.00,0.00
