,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,0.00,1.00,0.00
R2,0.79,0.00,0.00,0.00,0.00,0.21
R3,0.00,0.00,0.00,1.00,0.00,0.00
R4,0.00,0.29,0.09,0.00,0.00,0.62
R5,1.00,0.00,0.00,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
