,C1,C2,C3,C4,C5,C6
R1,0.00,0.21,0.79,0.00,0.00,0.00
R2,0.48,0.01,0.28,0.00,0.19,0.03
R3,0.01,0.16,0.20,0.00,0.15,0.48
R4,0.42,0.06,0.10,0.00,0.21,0.21
R5,0.00,0.00,0.66,0.12,0.00,0.22
RN,0.00,0.00,0.00,0.00,0.00,0.00
