,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,0.21,0.14,0.65
R2,0.10,0.06,0.06,0.28,0.05,0.46
R3,0.34,0.24,0.29,0.00,0.00,0.13
R4,0.25,0.40,0.23,0.02,0.00,0.11
R5,0.06,0.03,0.62,0.23,0.03,0.03
RN,0.00,0.00,0.00,0.00,0.00,0.00
