,C1,C2,C3,C4,C5,C6
R1,0.18,0.00,0.10,0.45,0.00,0.27
R2,0.13,0.06,0.42,0.04,0.10,0.25
R3,0.06,0.06,0.03,0.03,0.15,0.67
R4,0.17,0.03,0.16,0.33,0.07,0.25
R5,0.12,0.23,0.00,0.46,0.17,0.01
RN,0.00,0.00,0.00,0.00,0.00,0.00
