,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,0.00,1.00,0.00
R2,0.43,0.00,0.00,0.00,0.57,0.00
R3,0.12,0.24,0.13,0.00,0.43,0.07
R4,0.14,0.38,0.32,0.00,0.00,0.16
R5,0.00,0.07,0.22,0.10,0.31,0.30
RN,0.00,0.00,0.00,0.00,0.00,0.00
