,C1,C2,C3,C4,C5,C6
R1,0.02,0.00,0.00,0.98,0.00,0.00
R2,0.00,0.00,0.00,0.00,0.00,1.00
R3,0.06,0.00,0.20,0.00,0.66,0.08
R4,1.00,0.00,0.00,0.00,0.00,0.00
R5,0.39,0.12,0.00,0.00,0.50,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
