,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,0.00,1.00,0.00
R2,0.00,0.00,0.00,1.00,0.00,0.00
R3,0.47,0.00,0.00,0.00,0.15,0.38
R4,0.00,0.04,0.47,0.00,0.49,0.00
R5,0.00,0.02,0.72,0.26,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
