,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.05,0.05,0.77,0.13
R2,0.00,0.00,0.00,0.17,0.49,0.34
R3,0.00,0.00,0.16,0.00,0.84,0.00
R4,0.35,0.26,0.24,0.12,0.03,0.00
R5,1.00,0.00,0.00,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
