,C1,C2,C3,C4,C5,C6
R1,0.11,0.00,0.50,0.01,0.22,0.16
R2,0.02,0.05,0.13,0.34,0.12,0.33
R3,0.28,0.00,0.15,0.03,0.54,0.00
R4,0.08,0.49,0.00,0.02,0.12,0.28
R5,0.25,0.01,0.00,0.40,0.18,0.16
RN,0.00,0.00,0.00,0.00,0.00,0.00
