,C1,C2,C3,C4,C5,C6
R1,1.00,0.00,0.00,0.00,0.00,0.00
R2,0.83,0.00,0.17,0.00,0.00,0.00
R3,0.52,0.06,0.18,0.12,0.12,0.00
R4,0.00,0.00,0.00,0.00,0.73,0.27
R5,0.00,0.00,0.00,0.00,1.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
