,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,0.00,0.00,1.00
R2,0.00,0.24,0.08,0.00,0.07,0.60
R3,0.00,0.00,0.00,0.00,0.00,1.00
R4,0.23,0.59,0.04,0.00,0.00,0.14
R5,0.00,0.00,1.00,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
