,C1,C2,C3,C4,C5,C6
R1,0.21,0.21,0.00,0.36,0.00,0.22
R2,0.21,0.10,0.37,0.03,0.27,0.03
R3,0.23,0.25,0.27,0.06,0.06,0.13
R4,0.23,0.18,0.00,0.12,0.47,0.00
R5,0.55,0.00,0.00,0.00,0.00,0.45
RN,0.00,0.00,0.00,0.00,0.00,0.00
