,C1,C2,C3,C4,C5,C6
R1,0.00,0.02,0.58,0.11,0.04,0.25
R2,0.08,0.15,0.13,0.64,0.00,0.00
R3,0.00,0.00,0.00,0.00,1.00,0.00
R4,0.15,0.47,0.13,0.18,0.00,0.08
R5,0.05,0.02,0.14,0.09,0.36,0.34
RN,0.00,0.00,0.00,0.00,0.00,0.00
