,C1,C2,C3,C4,C5,C6
R1,0.46,0.03,0.17,0.34,0.00,0.00
R2,0.00,0.21,0.11,0.68,0.00,0.00
R3,0.00,0.00,0.06,0.00,0.00,0.94
R4,0.48,0.02,0.37,0.00,0.12,0.00
R5,0.00,0.00,0.00,0.00,1.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
