,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,1.00,0.00,0.00
R2,0.00,0.00,0.06,0.00,0.00,0.94
R3,0.00,0.78,0.00,0.00,0.22,0.00
R4,0.00,0.00,1.00,0.00,0.00,0.00
R5,0.24,0.00,0.00,0.34,0.43,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
