,C1,C2,C3,C4,C5,C6
R1,0.19,0.19,0.17,0.05,0.39,0.00
R2,0.16,0.22,0.04,0.06,0.30,0.22
R3,0.22,0.60,0.02,0.00,0.01,0.15
R4,0.54,0.14,0.07,0.01,0.24,0.00
R5,0.12,0.00,0.02,0.01,0.72,0.13
RN,0.00,0.00,0.00,0.00,0.00,0.00
