,C1,C2,C3,C4,C5,C6
R1,0.06,0.10,0.48,0.23,0.10,0.03
R2,0.20,0.09,0.17,0.18,0.18,0.18
R3,0.00,0.00,0.00,0.57,0.34,0.09
R4,0.07,0.93,0.00,0.00,0.00,0.00
R5,0.36,0.05,0.04,0.00,0.27,0.28
RN,0.00,0.00,0.00,0.00,0.00,0.00
