,C1,C2,C3,C4,C5,C6
R1,0.11,0.00,0.89,0.00,0.00,0.00
R2,0.02,0.14,0.10,0.32,0.38,0.05
R3,0.15,0.28,0.00,0.53,0.00,0.04
R4,0.00,0.48,0.41,0.09,0.02,0.00
R5,0.23,0.11,0.09,0.21,0.02,0.34
RN,0.00,0.00,0.00,0.00,0.00,0.00
