,C1,C2,C3,C4,C5,C6
R1,0.00,0.21,0.61,0.19,0.00,0.00
R2,0.00,1.00,0.00,0.00,0.00,0.00
R3,0.00,1.00,0.00,0.00,0.00,0.00
R4,0.08,0.17,0.61,0.00,0.04,0.11
R5,0.06,0.09,0.11,0.23,0.09,0.43
RN,0.00,0.00,0.00,0.00,0.00,0.00
