,C1,C2,C3,C4,C5,C6
R1,1.00,0.00,0.00,0.00,0.00,0.00
R2,0.27,0.31,0.04,0.24,0.00,0.14
R3,0.15,0.23,0.00,0.00,0.11,0.51
R4,0.33,0.06,0.00,0.00,0.06,0.55
R5,0.39,0.01,0.06,0.10,0.03,0.41
RN,0.00,0.00,0.00,0.00,0.00,0.00
