,C1,C2,C3,C4,C5,C6
R1,0.28,0.00,0.62,0.10,0.00,0.00
R2,0.00,0.00,0.72,0.00,0.28,0.00
R3,0.31,0.69,0.00,0.00,0.00,0.00
R4,0.00,0.00,0.97,0.00,0.03,0.00
R5,0.00,0.00,0.00,0.00,0.26,0.74
RN,0.00,0.00,0.00,0.00,0.00,0.00
