,C1,C2,C3,C4,C5,C6
R1,0.61,0.19,0.10,0.00,0.09,0.01
R2,0.34,0.24,0.02,0.26,0.14,0.00
R3,0.19,0.62,0.00,0.00,0.00,0.19
R4,1.00,0.00,0.00,0.00,0.00,0.00
R5,0.18,0.08,0.14,0.04,0.32,0.24
RN,0.00,0.00,0.00,0.00,0.00,0.00
