,C1,C2,C3,C4,C5,C6
R1,0.00,0.23,0.00,0.58,0.19,0.00
R2,0.66,0.11,0.02,0.04,0.02,0.15
R3,0.00,0.04,0.05,0.46,0.35,0.10
R4,0.00,0.42,0.00,0.15,0.00,0.43
R5,0.00,0.61,0.29,0.10,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
