,C1,C2,C3,C4,C5,C6
R1,0.30,0.36,0.00,0.27,0.03,0.04
R2,0.32,0.01,0.27,0.00,0.32,0.08
R3,1.00,0.00,0.00,0.00,0.00,0.00
R4,0.37,0.00,0.00,0.00,0.00,0.63
R5,0.04,0.00,0.00,0.96,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
