,C1,C2,C3,C4,C5,C6
R1,0.78,0.22,0.00,0.00,0.00,0.00
R2,0.00,0.01,0.61,0.00,0.00,0.37
R3,0.31,0.18,0.00,0.00,0.11,0.41
R4,0.00,0.00,1.00,0.00,0.00,0.00
R5,0.16,0.26,0.14,0.01,0.00,0.43
RN,0.00,0.00,0.00,0.00,0.00,0.00
