,C1,C2,C3,C4,C5,C6
R1,0.26,0.00,0.00,0.74,0.00,0.00
R2,0.20,0.00,0.60,0.00,0.20,0.00
R3,0.00,0.00,0.24,0.00,0.00,0.76
R4,0.00,0.00,0.00,0.00,0.00,1.00
R5,0.00,0.01,0.00,0.92,0.00,0.07
RN,0.00,0.00,0.00,0.00,0.00,0.00
