,C1,C2,C3,C4,C5,C6
R1,0.28,0.49,0.23,0.00,0.00,0.00
R2,0.00,0.00,0.00,0.00,1.00,0.00
R3,0.25,0.06,0.05,0.32,0.23,0.10
R4,0.52,0.00,0.00,0.00,0.48,0.00
R5,0.00,0.00,1.00,0.00,0.00,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
