,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,0.00,0.00,1.00
R2,0.00,0.00,0.00,0.00,1.00,0.00
R3,0.00,0.15,0.02,0.16,0.31,0.36
R4,0.67,0.18,0.00,0.09,0.05,0.00
R5,0.00,0.56,0.00,0.00,0.00,0.44
RN,0.00,0.00,0.00,0.00,0.00,0.00
