,C1,C2,C3,C4,C5,C6
R1,0.48,0.19,0.32,0.00,0.01,0.00
R2,0.42,0.18,0.35,0.00,0.05,0.00
R3,0.07,0.19,0.27,0.37,0.00,0.10
R4,0.18,0.33,0.21,0.03,0.24,0.00
R5,0.00,0.03,0.00,0.04,0.44,0.49
RN,0.00,0.00,0.00,0.00,0.00,0.00
