,C1,C2,C3,C4,C5,C6
R1,0.09,0.00,0.44,0.07,0.36,0.03
R2,0.08,0.14,0.43,0.19,0.12,0.03
R3,0.59,0.08,0.12,0.03,0.07,0.10
R4,0.14,0.48,0.14,0.03,0.03,0.19
R5,0.12,0.00,0.00,0.00,0.74,0.14
RN,0.00,0.00,0.00,0.00,0.00,0.00
