,C1,C2,C3,C4,C5,C6
R1,0.00,0.83,0.17,0.00,0.00,0.00
R2,0.00,0.00,0.00,0.08,0.23,0.69
R3,0.00,0.99,0.00,0.01,0.00,0.00
R4,0.32,0.00,0.68,0.00,0.00,0.00
R5,0.00,0.16,0.00,0.47,0.37,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
