,C1,C2,C3,C4,C5,C6
R1,0.00,0.00,0.00,1.00,0.00,0.00
R2,0.00,0.00,0.00,0.89,0.00,0.11
R3,0.03,0.00,0.11,0.37,0.37,0.13
R4,0.07,0.05,0.02,0.07,0.03,0.76
R5,0.28,0.18,0.17,0.36,0.00,0.01
RN,0.00,0.00,0.00,0.00,0.00,0.00
