,C1,C2,C3,C4,C5,C6
R1,0.00,0.12,0.16,0.68,0.00,0.04
R2,0.13,0.34,0.46,0.07,0.00,0.00
R3,0.67,0.11,0.00,0.04,0.18,0.00
R4,0.19,0.40,0.00,0.12,0.29,0.00
R5,0.00,0.01,0.00,0.32,0.66,0.00
RN,0.00,0.00,0.00,0.00,0.00,0.00
